매장명,주소
지진옥외대피장소 신재초등학교,부산 해운대구 해운대로81번길 55
지진옥외대피장소 송운초등학교,부산 해운대구 신반송로 20
지진옥외대피장소 해원초등학교,부산 해운대구 마린시티2로 10
지진옥외대피장소 상당초등학교,부산 해운대구 세실로 173
지진옥외대피장소 해림초등학교,부산 해운대구 해운대로469번길 42
지진옥외대피장소 운봉초등학교,부산 해운대구 신반송로 11-20
지진옥외대피장소 신곡초등학교,부산 해운대구 좌동순환로 290
지진옥외대피장소 좌산초등학교,부산 해운대구 좌동순환로311번길 7
지진실내구호소 반송초등학교,부산 해운대구 아랫반송로30번길 37-16
지진옥외대피장소 강동초등학교,부산 해운대구 해운대로349번길 10
지진실내구호소 인지초등학교,부산 해운대구 반여로 128
지진옥외대피장소 운송초등학교,부산 해운대구 반송로 839
지진옥외대피장소 반여초등학교,부산 해운대구 재반로 301
지진옥외대피장소 반석초등학교,부산 해운대구 선수촌로207번길 14
지진옥외대피장소 반송초등학교,부산 해운대구 아랫반송로30번길 37-16
지진옥외대피장소 장산초등학교,부산 해운대구 선수촌로 68
지진실내구호소 삼어초등학교,부산 해운대구 삼어로91번길 73
지진옥외대피장소 신도초등학교,부산 해운대구 좌동순환로 34
지진옥외대피장소 인지초등학교,부산 해운대구 반여로 128
지진옥외대피장소 양운초등학교,부산 해운대구 대천로67번길 36
지진옥외대피장소 좌동초등학교,부산 해운대구 세실로 127
지진옥외대피장소 부흥초등학교,부산 해운대구 좌동순환로 216
보수초등학교,부산 중구 흑교로 74
광일초등학교,부산 중구 중구로 74
남성초등학교,부산 중구 샘길 14
봉래초등학교,부산 중구 대영로226번길 15
