대여소번호,보관소(대여소)명,자치구,상세주소,위도,경도
2357,르네상스호텔사거리 역삼지하보도 3번출구 앞 (더 오번,강남구,서울특별시 강남구 역삼동 720-15,37.50194931,127.0427704
2358,구룡초사거리 (현대아파트10동 앞 ),강남구,서울특별시 강남구 개포동 653 현대1차아파트,37.48138428,127.0539169
2359,"국립국악중,고교 정문 맞은편",강남구,서울특별시 강남구 개포동 1197-2 친환경식품유통센터,37.47560501,127.0503769
2360,도곡1동 주민센터 교차로,강남구,서울특별시 강남구 역삼동 788-10 YK빌딩,37.4928093,127.0413895
2362,신사동 가로수길 입구,강남구,서울특별시 강남구 신사동 501-5 이전노점8,37.51763535,127.0224533
2363,강남 을지병원 교차로,강남구,서울특별시 강남구 논현동 7-12,37.51913834,127.0275192
2364,도산대로 렉서스 앞,강남구,서울특별시 강남구 신사동 629-34 Genesis 빌딩,37.52124023,127.0318985
2365,K+ 타워 앞,강남구,서울특별시 강남구 신사동 666-16 K+ 메디칼타워,37.52330017,127.038475
2368,도곡동 경남아파트 건너편,강남구,서울특별시 강남구 도곡동,37.48934174,127.0412979
2369,KT선릉타워,강남구,서울특별시 강남구 대치동 1011,37.50542831,127.0528717
2370,한티역 3번출구,강남구,서울특별시 강남구 대치동 1026 이전노점7,37.49655151,127.0542984
2371,한국우편사업진흥원,강남구,서울특별시 강남구 논현동 210-1 삼원빌딩,37.51474762,127.0351334
2372,대치역 사거리,강남구,서울특별시 강남구 대치동 509 하이마트사옥,37.49449921,127.063797
2373,개포동역 사거리,강남구,서울특별시 강남구 개포동,37.48927689,127.0655747
2375,수서역 1번출구 앞,강남구,서울특별시 강남구 수서동 728 수서역,37.48735046,127.1009979
2376,수서역 6번출구 앞,강남구,서울특별시 강남구 수서동 728 수서역,37.48677826,127.1005173
2377,수서역 5번출구 뒤,강남구,서울특별시 강남구 수서동,37.48683548,127.1027527
2380,삼성동베이직하우스앞,강남구,서울특별시 강남구 삼성동 114-15 티비에이치빌딩,37.51169586,127.0493469
2381,언주역 6번출구앞,강남구,서울특별시 강남구 역삼동 650-9 강남차병원,37.50636673,127.034523
2382,역삼동 sk뷰 501동앞,강남구,서울특별시 강남구 역삼동 716-3 개나리SK뷰,37.50134277,127.0504684
2383,보금자리정원,강남구,서울특별시 강남구 세곡동 605 세곡교회,37.46632767,127.0948868
2384,자곡사거리,강남구,서울특별시 강남구 자곡동 591 더그린관,37.47602844,127.1059418
2385,학동역,강남구,서울특별시 강남구 논현동 279-67 학동역,37.51395035,127.0301514
2386,크린랩 본사,강남구,서울특별시 강남구 논현동,37.50958633,127.0409088
2387,래미안강남힐즈 사거리,강남구,서울특별시 강남구 자곡동 611 래미안 강남힐즈,37.47245407,127.096077
2388,강남구 도시관리공단,강남구,서울특별시 강남구 삼성동 111-61,37.51678467,127.0516129
2389,경기여자고등학교 후문 (삼성로3길 입구),강남구,서울특별시 강남구 개포동 195 개포동역,37.48616028,127.0672379
2390,구룡마을 입구 (래미안블레스티지 아파트),강남구,서울특별시 강남구 개포동 570,37.48088074,127.0630417
2391,구룡터널 입구(개포1단지아파트),강남구,서울특별시 강남구 개포동 570,37.47598648,127.0596237
2392,구룡산 입구 (구룡산 서울둘레길 입구),강남구,서울특별시 강남구 개포동,37.47447205,127.0554504
2393,구룡사 앞 교차로 (보도육교),강남구,서울특별시 강남구 개포동,37.47200012,127.0513382
2394,개포래미안포레스트아파트 107동 앞,강남구,서울특별시 강남구 개포동 1282 개포 래미안 포레스트,37.48029709,127.0542603
2395,개포1단지아파트 입구 (보도육교),강남구,서울특별시 강남구 개포동,37.47929001,127.0557327
