학교이름,주소,위도,경도,행정동명,행정동_코드
수락고등학교,서울 노원구 동일로245길 143,37.681352,127.0523756,상계1동,11350630
수명고등학교,서울 강서구 수명로2길 15,37.54986105,126.8247971,발산1동,11500611
숙명여자고등학교,서울 강남구 남부순환로 2807,37.4979579,127.0846934,개포3동,11680675
숭문고등학교,서울 마포구 숭문길 99,37.5466859,126.9453649,염리동,11440610
숭실고등학교,서울 은평구 은평터널로7길 6,37.5924705,126.9039464,신사2동,11380632
숭의여자고등학교,서울 동작구 여의대방로36길 79,37.5077372,126.9287846,대방동,11590660
신광여자고등학교,서울 용산구 청파로 263,37.5315648,126.9546494,이촌2동,11170640
신도고등학교,서울 은평구 통일로 961,37.6290814,126.9184822,진관동,11380690
신도림고등학교,서울 구로구 경인로67길 159,37.5111321,126.8893753,신도림동,11530510
신동신중 정보산업고등학교,서울 동작구 동작대로33마길 27-1,37.4908141,126.9783653,사당2동,11590630
신림고등학교,서울 관악구 문성로 119,37.47872895,126.9170674,미성동,11620765
신목고등학교,서울 양천구 안양천로 739,37.5117857,126.874196,신정6동,11470670
신서고등학교,서울 양천구 은행정로 42,37.5228758,126.8595244,신정4동,11470650
신일고등학교,서울 강북구 솔매로49길 20,37.6283087,127.0261751,미아동,11305535
신진과학기술고등학교,서울 은평구 은평로6길 16,37.5989045,126.9185474,응암1동,11380580
신현고등학교,서울 중랑구 봉화산로 174,37.6008738,127.0789313,중화2동,11260610
아세아고등학교,서울 성동구 청계천로 494,37.5714227,127.0235321,왕십리도선동,11200535
압구정고등학교,서울 강남구 압구정로39길 20,37.5309688,127.031815,압구정동,11680545
양재고등학교,서울 서초구 남부순환로346길 9,37.4837028,127.0314133,서초2동,11650520
양정고등학교,서울 양천구 안양천로 1039,37.5338001,126.8861003,목5동,11470550
양천고등학교,서울 양천구 신정로14길 13,37.5086039,126.8447718,신정3동,11470640
언남고등학교,서울 서초구 동산로13길 35,37.472583,127.042431,양재2동,11650652
여의도고등학교,서울 영등포구 국제금융로7길 37,37.5248101,126.9352732,여의동,11560540
여의도여자고등학교,서울 영등포구 국제금융로7가길 13,37.5224864,126.9343062,여의동,11560540
염광고등학교,서울 노원구 월계로45가길 9,37.6298221,127.050926,월계2동,11350570
염광여자메디텍고등학교,서울 노원구 월계로45가길 9,37.6298221,127.050926,월계2동,11350570
영동고등학교,서울 강남구 선릉로 742,37.5290401,127.041123,압구정동,11680545
영동일고등학교,서울 송파구 석촌호수로 93,37.5139175,127.0849709,잠실2동,11710670
영등포고등학교,서울 동작구 등용로8길 5,37.5080291,126.9329806,대방동,11590660
영등포고등학교부설방송통신고등학교,서울 동작구 등용로8길 5,37.5080291,126.9329806,대방동,11590660
영등포공업고등학교,서울 강서구 허준로5길 15,37.56931585,126.8502752,가양2동,11500604
영등포여자고등학교,서울 영등포구 영등포로62길 13,0,0,영등포본동,NaN
영락고등학교,서울 관악구 청룡16길 25,37.4765939,126.9448151,청룡동,11620595
영락의료과학고등학교,서울 관악구 청룡16길 25,37.4765939,126.9448151,청룡동,11620595
영신간호비즈니스고등학교,서울 노원구 중계로16나길 13,37.6516797,127.0821023,중계본동,11350619
영신고등학교,서울 영등포구 대방천로14길 18,37.4981758,126.9102537,신길6동,11560680
영신여자고등학교,서울 노원구 중계로16나길 13,37.6516797,127.0821023,중계본동,11350619
영일고등학교,서울 강서구 등촌로51가길 26,37.5478089,126.8623635,등촌2동,11500530
영파여자고등학교,서울 송파구 올림픽로 565,37.5107105,127.0709259,잠실2동,11710670
영훈고등학교,서울 강북구 도봉로13가길 19,37.6147398,127.0293074,송천동,11305555
예림디자인고등학교,서울 구로구 오리로21길 2,37.4968621,126.8257267,수궁동,11530790
예일디자인고등학교,서울 은평구 연서로 117,37.6411462,126.9377275,진관동,11380690
예일여자고등학교,서울 은평구 연서로 117,37.6411462,126.9377275,진관동,11380690
오금고등학교,서울 송파구 중대로 247,37.49833,127.12569,가락본동,11710620
오류고등학교,서울 구로구 오리로21길 2,37.4968621,126.8257267,수궁동,11530790
오산고등학교,서울 용산구 보광로7길 17,37.52526,126.9983669,보광동,11170700
용문고등학교,서울 성북구 고려대로17가길 46,37.5873785,127.025003,안암동,11290600
용산고등학교,서울 용산구 두텁바위로 60,37.5454799,126.9751077,남영동,11170530
용산철도고등학교,서울 용산구 서빙고로 24,37.52446415,126.967314,한강로동,11170625
용화여자고등학교,서울 노원구 동일로 1461,37.6175709,127.075671,공릉1동,11350595
우신고등학교,서울 구로구 부일로 917,37.4932036,126.8315087,수궁동,11530790
원묵고등학교,서울 중랑구 숙선옹주로 82,37.6145054,127.0803595,묵1동,11260620
월계고등학교,서울 노원구 초안산로5길 66,37.6323479,127.0508606,월계2동,11350570
유한공업고등학교,서울 구로구 경인로 8,37.487907,126.8230171,범안동,41190795
은광여자고등학교,서울 강남구 남부순환로359길 36,37.4864592,127.0360848,도곡1동,11680655
은평고등학교,서울 은평구 갈현로15길 47,37.6075896,126.9096576,구산동,11380560
은평메디텍고등학교,서울 은평구 진관2로 57-57,37.6355375,126.9291952,진관동,11380690
이화여자고등학교,서울 중구 정동길 26,37.5665663,126.9709728,소공동,11140520
이화여자대학교 병설미디어고등학교,서울 중랑구 망우로73길 56,37.601453,127.1040252,망우본동,11260655
이화여자대학교사범대학 부속이화금란고등학교,서울 서대문구 성산로 560,37.5667953,126.9267082,연희동,11410615
이화여자외국어고등학교,서울 중구 통일로4길 30,37.5651973,126.9683956,소공동,11140520
인덕과학기술고등학교,서울 노원구 초안산로 12,37.63118345,127.0544838,월계2동,11350570
인창고등학교,서울 서대문구 경기대로 65,37.5624239,126.9618419,충현동,11410565
인헌고등학교,서울 관악구 인헌9길 74,37.4727201,126.9687123,인헌동,11620625
일신여자상업고등학교,서울 송파구 송파대로38길 8,37.500727,127.1122135,송파2동,11710590
