매장명,주소
요산꽃님공원,부금정구 팔송로 51
용두산공원,부중구 용두산길 37-55
용두산공원 공영주차장,부중구 동광동3가 47
용두산공원 관리사무소,부중구 대청로116번길 13
용두산공원 꽃시계,부중구 광복동2가 1-3
용두어린이공원,부강서구 대저2동 1870-67
용소웰빙공원,부기장군 기장읍 서부리 223-6
우성공원,부금정구 구서동 1030-1
우열등공원,부강서구 범방동 1920
우정공원,부기장군 기장읍 교리 341
운봉어린이공원,부해운대구 신반송로 159
운수공원,부사상구 모라로192번길 20-21
운촌 어린이공원,부해운대구 우동 759-15
울림공원,부강서구 명지동 3392
웃음누리어린이공원,부해운대구 좌동 1347-4
워터프론트파크,부기장군 기장읍 시랑리 533-6
월내어린이공원,부기장군 장안읍 월내리 257-6
월륜공원,부연제구 연산동 2309
월전꽃동산,부기장군 기장읍 죽성리 336
윗골공원,부기장군 정관읍 정관8로 11
윤빛공원,부금정구 서부로 109
윤산여명헬스공원,부금정구 금사동 9
윤산체육공원 공중화장실,부금정구 윤산로 73-5
으뜸어린이공원,부해운대구 반여동 1594-68
은빛공원,부금정구 금사동 27-9
은빛어린이공원,부사하구 다대로 400
은하수공원,부기장군 기장읍 대라리 245-1
은하수어린이공원,부부산진구 백양산로 70
을숙도문화회관 조각공원,부사하구 낙동남로1233번길 25
을숙도생태공원,부사하구 하단동 1142
응봉어린이공원,부사하구 다대낙조2길 50
이편한세상시민공원어린이집,부부산진구 진남로 455
일광이천생태공원,부기장군 일광읍 이천리 692
일산봉어린이공원,부영도구 상리로 1
임랑문화공원,부기장군 장안읍 임랑리
자유어린이공원,부해운대구 좌동 1447-1
장림생태공원,부사하구 장림동
장밭갓공원,부사상구 엄궁동 669-1
장산공원,부해운대구 좌동 1371-1
장산공원 인조잔디축구장,부해운대구 대천로67번길 48
장산체육공원,부해운대구 우동 148-1
장안천가족휴게공원,부기장군 장안읍 고무로 270
장전공원,부강서구 미음동 1531
재송소공원,부해운대구 재송동 51
전포2-1재개발공원A,부부산진구 전포동 925
전포2-1재개발어린이공원,부부산진구 동성로 50
전포돌산공원,부부산진구 전포동 65-3
절골공원,부사상구 엄궁동 669-4
절영어린이공원,부영도구 동삼동 1124-3
정관제1호근린공원,부기장군 정관읍 달산리 1035
제니스소공원2,부해운대구 우동 1407-13
제석골산림공원,부사하구 당리동 4-9
조내기고구마역사공원,부영도구 청학동 54-120
조리1공원,부금정구 두구동
조성공원,부사하구 다대동 1548-16
주감공원,부사상구 주례동 1288-1
주례백양공원,부사상구 백양대로500번길 21
죽곡공원,부강서구 범방동 1899-1
죽도공원,부해운대구 송정해변로 1-23
죽향공원,부기장군 정관읍 모전리
중구청 대청공원공영주차장 전기차충전소,부중구 망양로 333
중구청 용두산공원공영주차장 전기차충전소,부중구 대청로 120
중리어린이공원,부영도구 동삼동 510-36
중사도소공원,부강서구 식만동 840-265
중앙공원,부기장군 정관읍 구연로 18-12
중앙공원 무궁화동산,부중구 영주동 4
중앙공원 주차장,부중구 보수동1가 2-57
중앙대청공원,부중구 대청동4가
중현공원,부사하구 다대동 1550-5
지사공원,부강서구 지사동 1180
직녀어린이공원,부해운대구 좌동 1322
진달래어린이공원,부기장군 기장읍 청강리 143
창날공원,부사상구 광장로87번길 30
창신공원,부사상구 주례동 294
철마공원,부기장군 철마면 철마로 800
철새탐방공원,부강서구 명지동 3308-3
청강소공원,부기장군 기장읍 청강리
청사포공원 어울마당 공중화장실,부해운대구 중동 670-1
청학배수지 체육공원,부영도구 와치로 36
청학수변공원,부영도구 청학동 217-43
초록공원,부해운대구 반여동
초롱공원,부사하구 윤공단로 119
초연근린공원,부부산진구 초읍동 66-1
추모공원,부부산진구 새싹로 174
충효공원,부기장군 기장읍 교리 358
컴포즈커피 대천공원점,부해운대구 양운로 182 두산1차아파트 주상가동
큰나무어린이공원,부강서구 명지오션시티11로 22
큰배어린이공원,부강서구 명지동 3349
탑동공원,부강서구 미음동 1536-1
태야공원,부강서구 미음동 1659
태종대공원 주차장,부영도구 동삼동
토곡근린공원,부연제구 연산동 2223
토암공원,부기장군 기장읍 대변리 520-1
토암도자기공원,부기장군 기장읍 대변로 107-27
토현쌈지공원,부연제구 연산동 2220-1
통일공원,부기장군 기장읍 동부리 160
통일무궁화공원,부강서구 대저1동 606
통일아시아드공원,부사하구 다대동 1585
파도어린이공원,부강서구 명지동 3409
파랑새어린이공원,부수영구 광안동 180-1
팔각어린이공원,부영도구 상리로 1
팽나무공원,부사하구 원양로 372
평화공원,부금정구 서동 141-22
푸른솔밭공원,부금정구 남산동 979-5
푸른숲어린이공원,부해운대구 해운대로81번길 117
푸른어린이공원,부영도구 동삼동 510-29
푸른어린이공원,부해운대구 좌동 1349
푸조나무숲공원,부금정구 두구동 1210-1
풀꽃어린이공원,부사하구 구평동 514
하강선대어울림공원,부사상구 덕포동 712-1
하늘공원,부동래구 온천동 1853-28
하늘땅별땅공원,부사하구 신평동 354-10
하늘빛어린이공원,부연제구 연산동 2350
하늘어린이공원,부사하구 다대동 1673
하장안마을 연꽃단지,부기장군 장안읍 장안리 295-1
한국해양대학교 아치잔디공원,부영도구 태종로 727
한길소공원,부동래구 아시아드대로146번길 1
한들공원,부연제구 연산동 2314
한마음공원,부연제구 거제동
한마음공원,부해운대구 반여동 1640
한빛공원,부연제구 연산동 2273
한빛어린이공원,부해운대구 재반로103번길 34
한적공원,부강서구 생곡동 1539-1
함지골공원,부영도구 동삼동 149-5
해관공원,부강서구 천성동 1642-3
해름소공원,부사상구 엄궁동 652-16
해밀어린이공원,부기장군 정관읍 용수리
해바라기공원,부기장군 기장읍 대라리 171
해바라기공원,부사하구 하단동 1184-4
해바람어린이공원,부해운대구 좌동 1364
해송어린이공원,부사하구 다대로 430
해오라기공원,부강서구 명지동 3602-3
해오름공원,부기장군 정관읍 용수리 1300
해오름공원,부수영구 망미동 1163
해운대구청 열린정원,부해운대구 중동2로 11
해운대달맞이공원,부해운대구 중동
해운대역사시민공원,부해운대구 해운대로 621
해운대행복체육공원,부해운대구 재송동 862-5
햇님공원,부기장군 일광읍 이천리 925
햇님공원,부사하구 하단동 601
햇동공원,부기장군 정관읍 매학리 722
햇살공원,부수영구 망미동
햇살공원,부연제구 과정로 74
햇살공원,부해운대구 좌동 1293
현대공원,부기장군 기장읍 청강리 795-35
형제공원,부금정구 남산동 987-5
호국의쉼터,부금정구 노포동 810-5
호암근린공원,부수영구 광안동 743-5
홍티문화공원,부사하구 다산로106번길 6
화동공원,부강서구 화전동 606
화랑어린이공원,부금정구 금사동 115-2
화목어린이공원,부부산진구 개금동 1-2
화암공원,부강서구 화전산단5로 131
화연공원,부강서구 화전동 597-2
화전공원,부강서구 화전동 582-1
화지공원,부부산진구 양정동 477-29
화지산 제1체육공원,부연제구 거제동 78-1
화현공원,부동래구 명장동 611-2
황령산레포츠공원,부부산진구 진남로328번길 99
회동첨단공원,부금정구 회동동 553
회화나무샘터공원,부사하구 괴정동 1244-5
횡계공원,부기장군 일광읍 횡계리 302
효암공원,부기장군 장안읍 임랑리 386-2
후동숲공원,부기장군 일광읍 삼성리 849
후동앞들공원,부기장군 일광읍 삼성리 860
휴메트로커뮤니티파크,부중구 광복동1가 40-3
희망공원,부강서구 송정동 1625
희망숲속 방재공원,부금정구 서동로60번길 41
희망어린이공원,부사하구 당리동 309-5
희망어린이공원,부해운대구 반여동 1291-2
화명생태공원,부북구 덕천동 598
화명장미공원,부북구 화명동 2280
덕천생활체육공원,부북구 덕천동
화명생태공원 중앙광장,부북구 화명동 1718-25
대천천누리길,부북구 화명동 43-14
구포어린이교통공원,부북구 낙동북로 687
숙등어린이공원,부북구 의성로115번길 71
천사어린이공원,부북구 금곡동 1884
상록어린이공원,부북구 만덕동 892
덕천근린공원,부북구 덕천동 93
백양근린공원,부북구 만덕동 843
화명근린공원,부북구 화명동 918-2
현충근린공원,부북구 화명동 2304
화명중앙공원,부북구 화명동 2279
대천어린이공원,부북구 금곡동 1897
만덕사지당간지주역사공원,부북구 만덕동 502
철쭉어린이공원,부북구 덕천동 787
