facility_nm,mng_agency_nm,gugun,reference_date,lat,lng,instt_code,last_load_dttm
남포지하도상가,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10201442,129.0313444,,2023-07-01 5:30
남해해양경비안전본부 어린이집,부산광역시 영도구청,부산광역시 영도구,2022-12-31,35.08228453,129.0773279,,2023-07-01 5:30
내원어린이집,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.05122843,128.9635537,,2023-07-01 5:30
냉정온천사우나 찜질방 스포츠,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.15102117,129.0145599,,2023-07-01 5:30
냉정지하철역,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.15126769,129.0125241,,2023-07-01 5:30
네오스파,부산광역시 부산진구청,부산진구,2023-01-11,35.1537268,129.0540325,,2023-07-01 5:30
네오스포,부산광역시 부산진구청,부산진구,2023-01-11,35.1537268,129.0540325,,2023-07-01 5:30
네오스포,부산광역시 부산진구청,부산진구,2023-01-11,35.1537268,129.0540325,,2023-07-01 5:30
노벨어린이집,부산광역시 북구청,부산광역시 북구,2022-12-31,35.2122956,129.0268019,,2023-07-01 5:30
노블레스요양병원,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.19667485,129.1062789,,2023-07-01 5:30
노인건강센터,부산광역시 사상구청,부산광역시 사상구,2022-12-31,35.13120987,128.9963834,,2023-07-01 5:30
노인요양시설효림원,부산광역시 부산진구청,부산진구,2023-01-11,35.1534693,129.0741171,,2023-07-01 5:30
노틀담어린이집,부산광역시 중구청,부산광역시 중구,2022-12-31,35.10578162,129.0282438,,2023-07-01 5:30
녹산산단바른어린이집,부산광역시 강서구청,강서구,2022-12-22,35.08866,128.89892,,2023-07-01 5:30
놀PC,부산광역시 부산진구청,부산진구,2023-01-11,35.1535716,129.0597376,,2023-07-01 5:30
농협하나로클럽 부전점,부산광역시 부산진구청,부산진구,2023-01-11,35.1627187,129.0624368,,2023-07-01 5:30
농협하나로클럽 부전점,부산광역시 부산진구청,부산진구,2023-01-11,35.1627187,129.0624368,,2023-07-01 5:30
누리엔,부산광역시 부산진구청,부산진구,2023-01-11,35.1417451,129.061215,,2023-07-01 5:30
누리엔,부산광역시 부산진구청,부산진구,2023-01-11,35.1417451,129.061215,,2023-07-01 5:30
눌원빌딩,부산광역시 동구청,부산광역시 동구,2021-01-21,35.136702,129.065061,,2023-07-01 5:30
뉴본산후조리원,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09988705,128.9914265,,2023-07-01 5:30
뉴본여성의원,,,,"부산 사하구 낙동대로 234 조일빌딩 2~7,10층",,,
뉴코아 덕천점(대규모점포),부산광역시 북구청,부산광역시 북구,2022-12-31,35.21110749,129.007593,,2023-07-01 5:30
뉴코아 덕천점(실내주차장),부산광역시 북구청,부산광역시 북구,2022-12-31,35.21110749,129.007593,,2023-07-01 5:30
뉴코아아울렛 괴정점,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09903752,128.9938949,,2023-07-01 5:30
뉴코아아울렛 괴정점실내주차장,부산광역시 사하구청,부산광역시 사하구,2022-12-31,35.09903752,128.9938949,,2023-07-01 5:30
늘봄실버요양센터,부산광역시 동래구청,부산광역시 동래구,2022-12-31,35.21326922,129.0983767,,2023-07-01 5:30
