매장명,위도,경도
서면종합시장,35.161915,129.0590007
부산코레일새싹어린이집,35.1621885,129.044421
세이브존리베라,35.162266,129.165489
롯데캐미칼국제빌딩,35.16234619,129.0552558
의료법인 인당의료재단 해운대부민병원,35.162351,129.161296
수영구 보건소,35.16247327,129.1134875
부산진구청,35.1626425,129.0531904
부산진구청어린이집,35.1626425,129.0531904
신세계백화점 센텀시티점,35.162655,129.171706
다을 어린이집,35.162699,129.157357
농협하나로클럽 부전점,35.1627187,129.0624368
농협하나로클럽 부전점,35.1627187,129.0624368
까르띠움 오피스텔,35.162791,129.16258
힐탑더블시티,35.16296907,129.1134832
롯데쇼핑㈜ 롯데키즈마트 부산점 (지하1층방재실),35.1631413,129.048528
메가박스중앙㈜,35.16314616,128.9809858
부산서부시외버스터미널㈜,35.16314616,128.9809858
주식회사 애플아울렛,35.16314616,128.9809858
대림아크로텔,35.163185,129.177824
의료법인 희경의료재단 한국요양병원,35.16328713,128.9804389
부산에이스하이테크21,35.163355,129.157605
동해 어린이집,35.163393,129.159548
부산전자종합시장,35.1635191,129.0625416
백조어린이집,35.163603,129.184465
해운대도서관,35.163603,129.164518
신세계백화점 센텀시티몰,35.163622,129.158867
장한어린이집,35.1636495,129.1110448
찬란한PC방,35.16365141,128.9843903
세흥병원,35.1636897,35.1636897
이마트 트레이더스 서면점,35.1639096,129.0525986
아이파크 PC방,35.16397533,128.9833973
인제대학교 해운대백병원,35.164126,129.138223
의료법인 인본의료재단 해운대자명병원,35.164176,129.154102
(주)이마트 사상점,35.16423654,128.9788887
㈜신세계이마트 사상점,35.16423654,128.9788887
벽산e오렌지프라자,35.16425,129.185122
(주)르네시떼,35.16433608,128.9777161
홈플러스(실내주차장),35.16433608,128.9777161
홈플러스(주)서부산점,35.16433608,128.9777161
개원어린이집,35.1644943,129.0277604
대하가족 건강랜드,35.164511,129.162399
SK텔레콤㈜부암사옥  (지하1층),35.1649952,129.0507993
홈플러스 부산반여점,35.165248,129.174935
라마다 앙코르 해운대 호텔,35.165264,129.174906
다시봄요양병원,35.165689,129.134636
의료법인 화인의료재단 센텀화인요양병원,35.165689,129.134636
영화의전당,35.165755,129.135941
수영지하상가,35.16589519,129.1148294
부산시민공원,35.1660271,129.057532
센텀아이에스타워,35.166033,129.167388
마린파크,35.166108,129.132414
한사랑요양병원 (구.효사랑요양병원),35.1661103,129.0519376
해운대베르나움,35.166124,129.132424
홈플러스 해운대점,35.16618,129.169002
웨이브타운,35.166196,129.169031
해운대실버홈,35.166267,129.180696
백산어린이집,35.1662832,129.0333076
벡스코,35.166575,129.168961
피렌체 오피스텔,35.16664955,129.1686157
서부산노인요양원,35.16674461,128.9879555
신라스테이 해운대,35.166754,129.131515
광덕자연어린이집,35.166816,129.143853
벽산이센텀클래스원2차,35.166835,129.132473
효성시티병원,35.166835,129.132482
자연꿈나무 어린이집,35.166861,129.133242
오션타워,35.166897,129.133824
SK텔레콤 데이타센터,35.166919,129.169045
제니스스퀘어,35.167137,129.132977
팔레드시즈콘도미니엄,35.167182,129.166939
온아이어린이집,35.16722001,129.1099518
부산근로복지공단어린이집,35.167432,128.9816344
롯데백화점 센텀시티점,35.167493,129.176772
다사랑어린이집,35.1676153,129.0336483
아이비어린이집,35.16761849,128.9848507
정향행복한마을,35.16763731,128.988192
한빛어린이집,35.1676615,129.02928
이안해운대오피스텔,35.167715,129.140752
제일여성병원,35.167777,129.145345
에이치스위트 해운대,35.167999,129.132792
해운대온천센터 (주식회사 에이치봄),35.168069,129.146595
의료재단  로뎀요양병원,35.168185,129.17786
대한예수교장로회수영로교회,35.168285,129.14036
대한예수교장로회수영로교회 교육관,35.168291,129.177791
의료법인동일의료재단수영나라요양병원,35.16833407,129.113293
영화진흥위원회,35.16852,129.178032
토요코인 해운대-2 관광호텔,35.168614,129.131189
금강핼씨랜드,35.1687662,129.0355619
부산유스호스텔아르피나,35.168861,129.175784
해운대NC백화점,35.168867,129.157311
그랜드조선부산,35.168895,129.129747
센텀 임페리얼 타워빌딩,35.168895,129.129747
하모니타워마브러스,35.168895,129.129747
달맞이요양병원,35.168903,129.129747
수장례식장,35.1689518,129.0490195
의료법인 청원의료재단 수요양병원,35.1689518,129.0490195
영화의전당,35.168955,129.178439
화승삼성아파트상가,35.1689816,129.0375669
인제대학교 해운대백병원,35.168987,129.175772
센텀SH밸리,35.168995,129.175791
수영동산어린이집,35.16922829,129.1160276
하늘아이어린이집,35.169342,129.176637
센텀그린타워,35.169366,129.176608
센텀프리미어호텔,35.16938,129.138235
한화호텔앤드리조트㈜,35.169427,129.174936
신세계백화점 센텀시티점,35.169487,129.175981
의료법인 한세의료재단 효은요양병원,35.169686,129.177688
대우월드마크센텀 (상가관리단),35.169742,129.17446
사상제일요양병원,35.16975966,128.982762
재능어린이집,35.170027,129.131141
풀빛어린이집,35.170059,129.131102
이비스 앰배서더 부산 해운대,35.17006,129.128355
큐비e센텀,35.17006,129.128355
흰돌요양센터(목제관),35.17008274,129.0994963
망미동 노외공영주차장,35.17031425,129.0968319
신세계조선호텔 부산 (조선비치호텔),35.170452,129.132464
오성병원,35.1707116,129.0713869
다솔 어린이집,35.17076,129.177073
이마트해운대점,35.170832,129.177112
홈플러스 센텀시티점,35.170832,129.177112
동산어린이집,35.17086066,129.1129982
엘리움 산후조리원,35.170995,129.177675
부산시립미술관,35.171152,129.133661
아세안문화박물관,35.171152,129.133661
삼환미포씨랜드,35.171354,129.127196
센텀다이아몬드,35.171354,129.127196
부산시립미술관,35.171662,129.176542
재단법인 자생의료재단 해운대자생한방병원,35.171737,129.138559
양정현대어린이집,35.1718911,129.0637735
세나어린이집,35.1719,129.174878
양정요양병원,35.1719347,129.069163
신라대어린이집,35.1720525,128.9977969
경남.동서대학교 센텀산학캠퍼스,35.172169,129.174965
소명선교어린이집,35.172272,129.174955
의료법인 해올의료재단 힐마루요양병원,35.172654,129.131001
의료법인 갑을의료재단 갑을녹산병원,35.17271,128.94573
부산도서관,35.17272317,128.9852978
양정시장,35.1727512,129.0697918
양정시장,35.1727512,129.0697918
사단법인청색회 연지그린요양병원,35.1728887,129.049646
㈜LG화학 과학관,35.1728887,129.049646
종단대순진리회,35.1729743,129.0685808
웅신시네아트,35.173014,129.175371
백양산한가족스포츠센터,35.1731808,129.0300082
백양산한가족스포츠센터,35.1731808,129.0300082
양정현대프라자,35.1733596,129.0632515
양정현대프라자,35.1733596,129.0632515
 의료법인제영의료재단  다나사요양병원,35.1734165,129.0302769
메리움,35.1734165,129.0302769
메리움,35.1734165,129.0302769
해운대NC백화점,35.173536,129.182194
